age,4.2,3.1,3.3,4.3,5.4,,,,,,,,,,,,
45,0.00265266,0.00003791,0.94768824,0.94780717,0.00012548,,,,44,<=,Age,<,45,9476882,9478072,1189,0.00012548
46,0.00287939,0.00004609,0.94499802,0.94513123,0.00014094,,,,45,<=,Age,<,46,9449980,9451312,1332,0.00014094
47,0.00310397,0.00005421,0.94207297,0.9422246,0.00016092,,,,46,<=,Age,<,47,9420730,9422246,1516,0.00016092
48,0.00334342,0.00006415,0.93891533,0.93908946,0.00018543,,,,47,<=,Age,<,48,9389153,9390895,1741,0.00018543
49,0.00368289,0.00008525,0.93550842,0.93570983,0.00021524,,,,48,<=,Age,<,49,9355084,9357098,2014,0.00021524
50,0.00403519,0.00010803,0.93174115,0.93197887,0.00025508,,,,49,<=,Age,<,50,9317411,9319789,2377,0.00025508
51,0.00438269,0.00013055,0.92759906,0.92788273,0.00030572,,,,50,<=,Age,<,51,9275991,9278827,2837,0.00030572
52,0.00472497,0.00015281,0.92308729,0.92342636,0.00036719,,,,51,<=,Age,<,52,9230873,9234264,3391,0.00036719
53,0.00508171,0.00017741,0.91821141,0.91861511,0.00043946,,,,52,<=,Age,<,53,9182114,9186151,4037,0.00043946
54,0.00555174,0.00021748,0.91295474,0.91343275,0.00052331,,,,53,<=,Age,<,54,9129547,9134327,4780,0.00052331
55,0.00603234,0.00025954,0.9071887,0.90775444,0.00062323,,,,54,<=,Age,<,55,9071887,9077544,5657,0.00062323
56,0.00650252,0.00030086,0.90090092,0.90156806,0.00073998,,,,55,<=,Age,<,56,9009009,9015681,6671,0.00073998
57,0.00696152,0.00034138,0.89410278,0.89488452,0.00087357,,,,56,<=,Age,<,57,8941028,8948845,7817,0.00087357
58,0.00742573,0.00037985,0.88680648,0.88771551,0.00102401,,,,57,<=,Age,<,58,8868065,8877155,9090,0.00102401
59,0.00797877,0.00041039,0.87900912,0.88005689,0.00119057,,,,58,<=,Age,<,59,8790091,8800569,10478,0.00119057
60,0.00853184,0.00043886,0.87063017,0.87182356,0.00136884,,,,59,<=,Age,<,60,8706302,8718236,11934,0.00136884
61,0.00906655,0.00046639,0.86167196,0.86301661,0.00155808,,,,60,<=,Age,<,61,8616720,8630166,13446,0.00155808
62,0.0095819,0.00049292,0.85215406,0.85365505,0.00175831,,,,61,<=,Age,<,62,8521541,8536551,15010,0.00175831
63,0.01009859,0.00051381,0.8420971,0.84375892,0.00196955,,,,62,<=,Age,<,63,8420971,8437589,16618,0.00196955
64,0.01072152,0.00050633,0.83150571,0.83333047,0.00218971,,,,63,<=,Age,<,64,8315057,8333305,18248,0.00218971
65,0.01133759,0.00049398,0.82030252,0.82228115,0.00240627,,,,64,<=,Age,<,65,8203025,8222811,19786,0.00240627
66,0.0119236,0.00048143,0.80849943,0.81062094,0.00261713,,,,65,<=,Age,<,66,8084994,8106209,21215,0.00261713
67,0.01247837,0.0004687,0.79612684,0.7983801,0.00282229,,,,66,<=,Age,<,67,7961268,7983801,22533,0.00282229
68,0.01308195,0.00045516,0.78321624,0.7855901,0.00302175,,,,67,<=,Age,<,68,7832162,7855901,23739,0.00302175
69,0.01412568,0.00043748,0.76971994,0.77220146,0.00321357,,,,68,<=,Age,<,69,7697199,7722015,24815,0.00321357
70,0.01518058,0.00041891,0.75520342,0.7577694,0.00338623,,,,69,<=,Age,<,70,7552034,7577694,25660,0.00338623
71,0.01615998,0.00040018,0.73965652,0.74228256,0.00353779,,,,70,<=,Age,<,71,7396565,7422826,26260,0.00353779
72,0.0170603,0.00038139,0.72315461,0.72581708,0.00366825,,,,71,<=,Age,<,72,7231546,7258171,26625,0.00366825
