age,4.2,3.1,3.3,4.3,5.4,,,,,,,,,,,
45,0.00261964,0.00009289,0.94758717,0.94780717,0.00023211,,,44,<=,Age,<,45,9475872,9478072,2200,0.00023211
46,0.0028379,0.00011134,0.94487529,0.94513123,0.0002708,,,45,<=,Age,<,46,9448753,9451312,2559,0.0002708
47,0.00305408,0.00012965,0.94192688,0.9422246,0.00031598,,,46,<=,Age,<,47,9419269,9422246,2977,0.00031598
48,0.00328378,0.0001514,0.93874419,0.93908946,0.00036766,,,47,<=,Age,<,48,9387442,9390895,3453,0.00036766
49,0.00360516,0.00019448,0.93531031,0.93570983,0.00042697,,,48,<=,Age,<,49,9353103,9357098,3995,0.00042697
50,0.00393815,0.00024072,0.93151234,0.93197887,0.00050059,,,49,<=,Age,<,50,9315123,9319789,4665,0.00050059
51,0.00426654,0.00028644,0.92733562,0.92788273,0.00058964,,,50,<=,Age,<,51,9273356,9278827,5471,0.00058964
52,0.00458994,0.0003316,0.92278538,0.92342636,0.00069413,,,51,<=,Age,<,52,9227854,9234264,6410,0.00069413
53,0.00492656,0.00038078,0.91786729,0.91861511,0.00081408,,,52,<=,Age,<,53,9178673,9186151,7478,0.00081408
54,0.00536776,0.00045685,0.9125643,0.91343275,0.00095075,,,53,<=,Age,<,54,9125643,9134327,8684,0.00095075
55,0.00581852,0.00053627,0.90674522,0.90775444,0.00111177,,,54,<=,Age,<,55,9067452,9077544,10092,0.00111177
56,0.0062594,0.00061426,0.90039744,0.90156806,0.00129843,,,55,<=,Age,<,56,9003974,9015681,11706,0.00129843
57,0.00668969,0.0006907,0.89353256,0.89488452,0.00151076,,,56,<=,Age,<,57,8935326,8948845,13520,0.00151076
58,0.00712338,0.00076848,0.88616307,0.88771551,0.0017488,,,57,<=,Age,<,58,8861631,8877155,15524,0.0017488
59,0.00763205,0.00086231,0.8782846,0.88005689,0.00201383,,,58,<=,Age,<,59,8782846,8800569,17723,0.00201383
60,0.00813944,0.00095664,0.86980675,0.87182356,0.00231332,,,59,<=,Age,<,60,8698068,8718236,20168,0.00231332
61,0.00862972,0.00104827,0.86073086,0.86301661,0.00264856,,,60,<=,Age,<,61,8607309,8630166,22858,0.00264856
62,0.00910198,0.00113702,0.85107732,0.85365505,0.00301965,,,61,<=,Age,<,62,8510773,8536551,25777,0.00301965
63,0.0095696,0.00122891,0.84086764,0.84375892,0.00342666,,,62,<=,Age,<,63,8408676,8437589,28913,0.00342666
64,0.01010119,0.00135417,0.83010404,0.83333047,0.00387172,,,63,<=,Age,<,64,8301040,8333305,32264,0.00387172
65,0.01062175,0.00148073,0.81869028,0.82228115,0.00436697,,,64,<=,Age,<,65,8186903,8222811,35909,0.00436697
66,0.01111574,0.00160207,0.80663707,0.81062094,0.00491458,,,65,<=,Age,<,66,8066371,8106209,39839,0.00491458
67,0.01158217,0.00171793,0.79397721,0.7983801,0.00551478,,,66,<=,Age,<,67,7939772,7983801,44029,0.00551478
68,0.0120981,0.00183111,0.78074475,0.7855901,0.00616778,,,67,<=,Age,<,68,7807448,7855901,48453,0.00616778
69,0.01303985,0.00195568,0.76689441,0.77220146,0.00687262,,,68,<=,Age,<,69,7668944,7722015,53071,0.00687262
70,0.01399569,0.00207457,0.7519934,0.7577694,0.00762238,,,69,<=,Age,<,70,7519934,7577694,57760,0.00762238
71,0.01488259,0.00218417,0.73603537,0.74228256,0.00841618,,,70,<=,Age,<,71,7360354,7422826,62472,0.00841618
72,0.01569734,0.00228407,0.7191001,0.72581708,0.00925437,,,71,<=,Age,<,72,7191001,7258171,67170,0.00925437
73,0.01653682,0.00237078,0.70127087,0.7084527,0.01013734,,,72,<=,Age,<,73,7012709,7084527,71818,0.01013734
74,0.01787216,0.00242771,0.68253858,0.69017213,0.01106035,,,73,<=,Age,<,74,6825386,6901721,76335,0.01106035
75,0.01916317,0.00246964,0.66244478,0.67048593,0.01199302,,,74,<=,Age,<,75,6624448,6704859,80412,0.01199302
76,0.02030106,0.00249952,0.64105083,0.64944855,0.01293055,,,75,<=,Age,<,76,6410508,6494486,83977,0.01293055
