age,4.2,3.1,3.3,4.3,5.4
1,0.00548482,0.00000003,1,1,0
2,0.00353847,0.00000023,0.99451515,0.99451518,0.00000003
3,0.00133912,0.00000045,0.99097645,0.99097671,0.00000026
4,0.00022902,0.0000005,0.98963688,0.98963759,0.00000072
5,0.00019983,0.00000038,0.98940736,0.98940857,0.00000123
6,0.00017065,0.00000025,0.98920715,0.98920874,0.00000161
7,0.00014149,0.00000013,0.98903625,0.98903809,0.00000186
8,0.00011707,0.00000002,0.98889463,0.9888966,0.00000199
9,0.00012105,0.00000004,0.98877754,0.98877953,0.00000201
10,0.00012975,0.00000009,0.98865644,0.98865848,0.00000206
11,0.00013846,0.00000013,0.9885266,0.98852872,0.00000214
12,0.00014715,0.00000018,0.98838801,0.98839027,0.00000228
13,0.00016586,0.00000024,0.98824069,0.98824311,0.00000246
14,0.00024466,0.00000041,0.98807458,0.98807725,0.0000027
15,0.00033341,0.00000061,0.98782951,0.98783259,0.00000312
16,0.00042207,0.0000008,0.9874955,0.98749918,0.00000373
17,0.00051061,0.00000099,0.98707263,0.98707712,0.00000454
18,0.00060196,0.00000119,0.98656103,0.98656651,0.00000555
19,0.00071074,0.00000138,0.98595789,0.98596455,0.00000675
20,0.00082222,0.00000158,0.98524577,0.98525381,0.00000816
21,0.00093342,0.00000177,0.98442198,0.98443159,0.00000976
22,0.00104431,0.00000197,0.98348679,0.98349816,0.00001156
23,0.0011446,0.0000022,0.98244053,0.98245386,0.00001356
24,0.0011832,0.0000027,0.98129375,0.98130926,0.00001581
25,0.00121145,0.00000324,0.98010787,0.98012604,0.00001854
26,0.00123959,0.00000378,0.9788932,0.97891455,0.00002181
27,0.00126762,0.00000431,0.97764986,0.97767489,0.00002561
28,0.00129583,0.0000049,0.97637796,0.97640719,0.00002994
29,0.00132569,0.00000582,0.97507726,0.97511125,0.00003486
30,0.0013557,0.00000679,0.97374581,0.97378538,0.00004064
31,0.00138559,0.00000775,0.97238338,0.97242941,0.00004733
32,0.00141535,0.00000871,0.97099011,0.97104346,0.00005495
33,0.00144709,0.00000978,0.96956613,0.96962768,0.00006347
34,0.0014914,0.00001148,0.96810937,0.96818007,0.00007302
35,0.00153762,0.00001329,0.9666066,0.96668805,0.00008425
